,ORF,RNA_Prints
0,ENSG00000000003,141172.12113458174
1,ENSG00000000005,141.05239040413312
2,ENSG00000000419,67003.7525813593
3,ENSG00000000457,17719.847290673068
4,ENSG00000000460,52828.053493318184
5,ENSG00000001036,128846.74317504687
6,ENSG00000001084,39189.25675658585
7,ENSG00000001167,61149.93107639588
8,ENSG00000001460,20745.042139798396
9,ENSG00000001461,50065.007195218204
10,ENSG00000001497,144932.41195806002
11,ENSG00000001561,18257.79264113617
12,ENSG00000001617,9426.989588670516
13,ENSG00000001626,460.1529956180465
14,ENSG00000001629,43325.3505951141
15,ENSG00000001630,145264.03147546772
16,ENSG00000001631,68724.7094392811
17,ENSG00000002016,15839.405432227897
18,ENSG00000002079,244.79477521259514
19,ENSG00000002330,19437.452850704685
20,ENSG00000002549,104658.28061407676
21,ENSG00000002586,63181.00514294819
22,ENSG00000002586,63181.00514294819
23,ENSG00000002587,20.886877048166152
24,ENSG00000002745,440.66523813128117
25,ENSG00000002746,921.9453432886341
26,ENSG00000002822,28346.17845688842
27,ENSG00000002834,36464.49779199539
28,ENSG00000002919,26347.44915366988
29,ENSG00000003056,83294.74404310888
30,ENSG00000003096,38064.15006291398
31,ENSG00000003137,6152.833935951689
32,ENSG00000003147,6201.013569776215
33,ENSG00000003249,25868.240541601648
34,ENSG00000003393,46805.26981505765
35,ENSG00000003400,2175.542156442615
36,ENSG00000003402,28081.14721591239
37,ENSG00000003436,11419.65749236024
38,ENSG00000003509,24410.310243544205
39,ENSG00000003756,150967.82490719802
40,ENSG00000003987,6860.902212711599
41,ENSG00000003989,94088.49518957027
42,ENSG00000004059,86487.75743492018
43,ENSG00000004139,28163.06466749157
44,ENSG00000004142,125309.82016913813
45,ENSG00000004399,20025.756764305133
46,ENSG00000004455,431092.15218617907
47,ENSG00000004468,45.709694817381234
48,ENSG00000004478,337167.58916437783
49,ENSG00000004487,189272.96421822603
50,ENSG00000004534,84290.22799502849
51,ENSG00000004660,19357.128298046533
52,ENSG00000004700,57907.095884441624
53,ENSG00000004766,32499.7042257135
54,ENSG00000004776,200.5539270078335
55,ENSG00000004777,5795.8185879784905
56,ENSG00000004779,135200.20713129433
57,ENSG00000004799,1566.692481683952
58,ENSG00000004838,1448.3680182467328
59,ENSG00000004846,291.99390696528377
60,ENSG00000004848,170.4520408213939
61,ENSG00000004864,98714.22902465907
62,ENSG00000004866,31141.473701270257
63,ENSG00000004897,189835.9648772879
64,ENSG00000004948,289.59611563457764
65,ENSG00000004961,36068.71366922445
66,ENSG00000004975,65058.8931615654
67,ENSG00000005007,124769.14780128736
68,ENSG00000005020,45649.45147229692
69,ENSG00000005022,983130.3427582289
70,ENSG00000005059,21756.049819984943
71,ENSG00000005073,22453.28514193567
72,ENSG00000005075,69453.14408877536
73,ENSG00000005100,96132.833548268
74,ENSG00000005102,330.6100854381928
75,ENSG00000005108,393.5328443653009
76,ENSG00000005156,86078.54744464139
77,ENSG00000005175,81871.2257892294
78,ENSG00000005187,3672.8465945364615
79,ENSG00000005189,15854.708338459945
80,ENSG00000005194,92812.9082551503
81,ENSG00000005206,31337.349233820132
82,ENSG00000005238,1634.237492969366
83,ENSG00000005249,33097.66687780073
84,ENSG00000005302,30222.09720246236
85,ENSG00000005339,158267.65187743172
86,ENSG00000005379,32.96712605160605
87,ENSG00000005421,49.814594974089886
88,ENSG00000005436,64034.6906678142
